,Dates,Gold Price,General,Food & Beverages,Housing,Fuel & Light,Transport & Communication,Miscellaneous
0,2025-09-01,109590.91,197.0,202.0,186.4,180.4,173.6,194.9
1,2025-08-01,99696.47,197.0,202.8,186.7,180.8,173.7,193.6
2,2025-07-01,97581.22,196.1,201.6,185.7,180.7,173.5,192.9
3,2025-06-01,97175.81,194.2,198.1,184.8,180.8,173.2,192.2
4,2025-05-01,94589.81,193.0,196.1,185.8,181.1,172.8,191.1
5,2025-04-01,93091.21,192.6,196.0,185.4,179.5,172.4,190.3
6,2025-03-01,86890.11,192.0,196.2,183.6,178.3,172.3,189.2
7,2025-02-01,84995.47,192.5,197.6,183.7,178.3,171.9,188.5
8,2025-01-01,79079.0,193.4,200.9,182.6,178.2,171.4,187.2
9,2024-12-01,76195.05,195.4,205.9,181.7,177.8,171.0,186.5
10,2024-11-01,76220.94,196.5,208.4,183.0,176.6,170.9,186.2
11,2024-10-01,76713.09,196.8,209.4,182.7,176.8,170.7,185.8
12,2024-09-01,72877.62,194.2,204.8,181.0,176.9,170.5,185.0
13,2024-08-01,70440.71,193.0,202.7,181.1,176.7,170.4,184.3
14,2024-07-01,71188.55,193.0,203.3,180.0,176.0,169.9,183.7
15,2024-06-01,72014.0,190.2,198.4,179.1,176.3,166.7,182.2
16,2024-05-01,72134.95,187.7,193.2,180.1,176.1,166.4,181.7
17,2024-04-01,71353.0,186.7,191.9,179.9,174.4,166.3,181.2
18,2024-03-01,65229.0,185.8,190.7,178.2,175.8,166.7,180.2
19,2024-02-01,62017.33,185.8,190.3,178.5,180.7,167.0,179.8
20,2024-01-01,62322.43,185.5,190.1,177.6,180.9,166.8,179.4
21,2023-12-01,124345.9,185.7,191.2,176.9,180.2,166.6,179.0
22,2023-11-01,121571.9,186.3,192.6,177.9,179.9,166.4,178.6
23,2023-10-01,117546.4,185.3,190.9,177.7,179.8,166.1,178.1
24,2023-09-01,117485.0,184.1,189.0,176.2,179.3,166.0,177.8
25,2023-08-01,117475.9,186.2,192.5,176.4,186.5,165.9,177.4
26,2023-07-01,117843.42,186.3,193.5,175.3,186.2,165.6,176.9
27,2023-06-01,118112.76,181.0,183.1,174.4,182.9,165.1,176.2
28,2023-05-01,121165.54,179.1,179.1,175.6,182.8,164.8,175.7
29,2023-04-01,120290.48,178.1,177.9,175.2,181.7,164.5,175.0
30,2023-03-01,115027.34,177.2,177.0,173.5,181.9,164.2,174.1
31,2023-02-01,113291.2,176.8,176.6,173.5,182.1,164.0,173.5
32,2023-01-01,112492.66,176.5,176.7,172.1,182.0,163.6,172.8
33,2022-12-01,53940.82,175.7,175.9,170.7,182.0,163.4,172.0
34,2022-11-01,51873.62,176.5,178.3,171.8,181.3,163.0,171.1
35,2022-10-01,50506.0,176.7,179.6,171.2,180.5,162.9,170.5
36,2022-09-01,49913.55,175.3,177.8,169.5,179.5,162.3,169.7
37,2022-08-01,51639.15,174.3,176.3,169.0,178.8,161.9,169.1
38,2022-07-01,50784.33,173.4,175.0,167.8,179.6,161.6,168.4
39,2022-06-01,50804.23,172.6,174.9,166.8,176.0,161.1,167.5
40,2022-05-01,50879.43,171.7,173.3,167.5,174.6,163.0,167.5
41,2022-04-01,52022.53,170.1,170.8,167.0,172.2,162.6,166.8
42,2022-03-01,51750.29,167.7,168.4,165.3,167.2,157.9,164.6
43,2022-02-01,49254.0,166.1,166.2,165.5,165.7,156.9,163.5
44,2022-01-01,47960.25,165.7,166.4,164.5,164.2,156.5,162.7
45,2021-12-01,47889.83,166.2,168.2,163.4,164.1,155.7,162.0
46,2021-11-01,48192.85,166.7,169.7,164.2,163.9,154.8,161.4
47,2021-10-01,47218.79,165.5,167.7,163.6,164.2,155.7,161.0
48,2021-09-01,46584.14,163.2,164.0,162.1,162.6,154.0,160.0
49,2021-08-01,47108.95,162.9,163.9,162.4,161.4,153.9,159.6
50,2021-07-01,47763.52,162.5,164.0,161.5,160.7,153.1,159.0
51,2021-06-01,47890.86,161.3,162.6,160.5,159.8,150.7,157.6
52,2021-05-01,47860.25,160.4,160.7,161.6,159.4,148.9,156.8
53,2021-04-01,46517.21,157.8,158.0,161.4,155.6,146.6,154.4
54,2021-03-01,44648.0,156.8,156.7,159.9,155.5,146.2,153.8
55,2021-02-01,47107.0,156.6,156.9,159.8,152.4,145.1,153.4
