Unnamed: 0,Dates,Gold Price,CI,Inflation Rate
152,2013-01-01,30520.19,,
151,2013-02-01,29963.48,-1.824071213187071,-0.5584049264733236
150,2013-03-01,29513.75,-3.297620362127492,-0.4510992214669181
149,2013-04-01,27742.6,-9.100828009262067,-1.776542338961451
148,2013-05-01,26768.65,-12.29199425036344,-0.9769152308000444
147,2013-06-01,27178.13,-10.95032501435934,0.41072667868782065
146,2013-07-01,26928.15,-11.769389377982238,-0.2507410743830745
145,2013-08-01,30216.3,-0.995701533968168,3.298160907803454
144,2013-09-01,30473.04,-0.1544878980111127,0.25752165548088274
143,2013-10-01,30709.63,0.6207038684883756,0.2373103079778052
142,2013-11-01,30739.6,0.7189011601828162,0.030061244896632273
141,2013-12-01,29904.2,-2.0183032936557668,-0.8379434096312515
140,2014-01-01,29581.85,-3.074489378997969,-0.3233314078221648
139,2014-02-01,30210.68,-1.014115573985609,0.63074449877714
138,2014-03-01,29831.88,-2.2552611893962577,-0.3799532721670078
137,2014-04-01,29328.91,-3.9032522405659957,-0.5045013128348488
136,2014-05-01,28738.0,-5.839380423254242,-0.5927090497787935
135,2014-06-01,27427.4,-10.133586979635439,-1.3145901755598755
134,2014-07-01,28007.59,-8.232583086802535,0.5819564122982476
133,2014-08-01,28079.57,-7.996739207717904,0.07219914606805994
132,2014-09-01,26962.6,-11.656513278587061,-1.1203706610675395
131,2014-10-01,26990.73,-11.564344782912555,0.028215642941019897
130,2014-11-01,26115.0,-14.43369127125355,-0.8783961959736384
129,2014-12-01,26678.27,-12.588126089647536,0.5649848986629119
128,2015-01-01,27403.27,-10.212649397005714,0.7272072922943008
127,2015-02-01,27075.48,-11.286659748841666,-0.32878797012572347
126,2015-03-01,26167.83,-14.260592742050418,-0.9104133777254078
125,2015-04-01,26682.61,-12.573905994687445,0.5163472688651853
124,2015-05-01,27093.04,-11.22912406508609,0.41167957100186225
123,2015-06-01,26645.96,-12.693990437149965,-0.448441153433017
122,2015-07-01,25539.38,-16.31972146962387,-1.1099490282855533
121,2015-08-01,25728.54,-15.699935026616801,0.18973590539364116
120,2015-09-01,26245.83,-14.005024215117917,0.5188649106633373
119,2015-10-01,26576.59,-12.921282600141081,0.3317670124127749
118,2015-11-01,25648.39,-15.962548070637828,-0.931025943044925
117,2015-12-01,25207.38,-17.407525968875024,-0.4423526730685634
116,2016-01-01,25997.5,-14.818682321440328,0.7925255528104445
115,2016-02-01,28251.67,-7.4328501886783815,2.261032913201438
114,2016-03-01,28794.25,-5.655076197100997,0.5442319071076456
113,2016-04-01,28818.16,-5.576734614037458,0.02398279497759535
112,2016-05-01,29639.09,-2.8869413984644217,0.8234293551216009
111,2016-06-01,29745.45,-2.5384507763549244,0.10668381739092726
110,2016-07-01,30941.75,1.381249592482882,1.1999421845126506
109,2016-08-01,31270.0,2.4567671433238174,0.32924937061462656
108,2016-09-01,31178.0,2.15532734232651,-0.09228009778079405
107,2016-10-01,30071.37,-1.4705675161262093,-1.109999180512611
106,2016-11-01,29796.43,-2.371413808367505,-0.27577706612881947
105,2016-12-01,27754.29,-9.062525495417944,-2.048357379152942
104,2017-01-01,28745.95,-5.813332092624581,0.9946791496228501
103,2017-02-01,29264.74,-4.113506501761612,0.5203694774749806
102,2017-03-01,28758.18,-5.773260258209397,-0.508102242737382
101,2017-04-01,29010.28,-4.947249673085259,0.25286752881019614
